"","Task","pA","pB","CEA","CEB"
"1",1,0.82449095461725,1.63741493797888,0.17550904538275,0.193036117565772
"2",2,0.783303628361441,1.67539397142409,0.216696371638559,0.329360722793365
"3",3,0.73555088572416,1.71394099406411,0.26444911427584,0.516506094763478
"4",4,0.681553120654026,1.75305989518366,0.318446879345974,0.76182122880211
"5",5,0.622192837701952,1.79275455966388,0.377807162298048,1.07250253507979
"6",6,0.558928312398952,1.83302886802199,0.441071687601048,1.45561608367898
"7",7,0.493690696418424,1.87388669645015,0.506309303581576,1.91811443433806
"8",8,0.428667225861262,1.91533191685374,0.571332774138738,2.46684979300753
"9",9,0.366016789189463,1.95736839688899,0.633983210810537,3.10858456530384
"10",10,0.0543132661326407,2,0.945686733867359,3.85
